# Noms de la població. 2020
# Pla de l'Estany
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d28
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00072;H;SALVADOR;89;2,76
00073;D;SÒNIA/SONIA;88;2,72
00074;D;CONCEPCIÓ;87;2,69
00074;D;JOSEFINA;87;2,69
00076;H;LLUC;86;2,66
00077;D;MARIA DOLORES/MARÍA DOLORES;85;2,63
00077;D;MARIA ÀNGELS;85;2,63
00077;D;SANDRA;85;2,63
00080;D;ANA MARIA/ANA MARÍA;83;2,57
00080;H;NIL;83;2,57
00082;D;BERTA;81;2,51
00082;H;ROGER;81;2,51
00082;D;ROSA MARIA/ROSA MARÍA;81;2,51
00082;D;ROSER;81;2,51
00086;H;GUILLEM;79;2,45
00086;D;IRENE;79;2,45
00088;H;JORGE;78;2,41
00088;H;ÀNGEL/ÁNGEL;78;2,41
00090;H;ALEIX;77;2,38
00090;D;ARIADNA;77;2,38
00090;D;FRANCESCA;77;2,38
00093;D;DOLORES;75;2,32
00094;H;ANTONI;74;2,29
00094;H;BIEL;74;2,29
00094;D;JOSEFA;74;2,29
00097;H;JESÚS;73;2,26
00097;D;LOURDES;73;2,26
00097;D;MARGARITA;73;2,26
00100;D;ANTÒNIA/ANTONIA;72;2,23
00100;H;EDUARD;72;2,23
00100;D;MARIA DEL PILAR/MARÍA DEL PILAR;72;2,23
00100;D;NEUS;72;2,23
00104;H;ANIOL;71;2,20
00104;D;FÀTIMA/FÁTIMA;71;2,20
00104;D;JOANA;71;2,20
00107;H;JAN;70;2,17
00107;D;MARINA;70;2,17
00107;D;OLGA;70;2,17
00110;H;ESTEVE;69;2,14
00110;H;RAFAEL;69;2,14
00112;H;JOEL;68;2,11
00112;H;MIGUEL;68;2,11
00114;H;CARLOS;67;2,07
00114;D;JANA;67;2,07
00116;D;ANA;66;2,04
00117;H;ANDREU;65;2,01
00117;D;ESTER;65;2,01
00117;H;FRANCISCO JAVIER;65;2,01
00117;H;JAVIER;65;2,01
00121;D;FRANCISCA;64;1,98
00122;D;ELENA;63;1,95
00123;D;ABRIL;61;1,89
00123;D;CLARA;61;1,89
00123;D;JOAQUIMA;61;1,89
00123;H;ÀLEX/ÁLEX;61;1,89
00127;H;MAHAMADOU;60;1,86
