# Noms de la població. 2020
# Baix Empordà
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d10
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00524;D;MARIA LUZ/MARÍA LUZ;32;0,24
00524;D;MARIA NÚRIA/MARÍA NURIA;32;0,24
00533;H;AMAR;31;0,23
00533;D;ANA BELÉN;31;0,23
00533;H;ARTUR;31;0,23
00533;D;BELÉN;31;0,23
00533;D;EUGÈNIA/EUGENIA;31;0,23
00533;H;GONZALO;31;0,23
00533;H;JUAN RAMON/JUAN RAMÓN;31;0,23
00533;H;KAMAL;31;0,23
00533;H;MATEO;31;0,23
00533;H;VASILE;31;0,23
00533;D;YAMNA;31;0,23
00544;H;ABDELILAH;30;0,22
00544;H;ANDREI;30;0,22
00544;D;ASMAE;30;0,22
00544;D;AURÈLIA/AURELIA;30;0,22
00544;H;FARID;30;0,22
00544;H;GERMÁN;30;0,22
00544;D;GRÀCIA/GRACIA;30;0,22
00544;D;HERMÍNIA/HERMINIA;30;0,22
00544;H;ISIDRO;30;0,22
00544;H;JONATAN/JONATÁN;30;0,22
00544;D;MILAGROS;30;0,22
00544;H;RAFEL;30;0,22
00544;D;SALIMA;30;0,22
00544;D;SANAE;30;0,22
00544;D;SIRA;30;0,22
00544;D;VICENTA;30;0,22
00560;D;ALINA;29;0,22
00560;H;EUGENIO;29;0,22
00560;D;FATIMA ZOHRA;29;0,22
00560;D;FATNA;29;0,22
00560;H;IMAD;29;0,22
00560;D;IRYNA;29;0,22
00560;D;OLÍVIA/OLIVIA;29;0,22
00560;D;SOUMIA;29;0,22
00560;D;VERA;29;0,22
00569;D;AMÈLIA/AMELIA;28;0,21
00569;D;DARIA/DARÍA;28;0,21
00569;H;DYLAN;28;0,21
00569;D;ESTRELLA;28;0,21
00569;D;FATOUMATA;28;0,21
00569;D;ILHAM;28;0,21
00569;D;ISABEL MARIA/ISABEL MARÍA;28;0,21
00569;D;JORDINA;28;0,21
00569;D;KAOUTAR;28;0,21
00569;H;MARCO;28;0,21
00569;D;MARIA ENCARNACIÓN/MARÍA ENCARNACIÓN;28;0,21
00569;D;SORAYA;28;0,21
00569;D;VIOLETA;28;0,21
00582;D;AINARA;27;0,20
00582;D;ANAÍS/ANAÏS/ANAIS;27;0,20
00582;H;AXEL;27;0,20
00582;H;EUDALD;27;0,20
00582;H;FREDERIC;27;0,20
00582;H;GHEORGHE;27;0,20
00582;D;HOURIA;27;0,20
00582;H;LLORENÇ;27;0,20
00582;D;MARIA ASSUMPCIÓ;27;0,20
00582;D;MARIA BELÉN/MARÍA BELÉN;27;0,20
00582;D;MARIA INMACULADA/MARÍA INMACULADA;27;0,20
00582;D;MINA;27;0,20
00582;H;MOISÈS/MOISÉS;27;0,20
00582;D;NAOUAL;27;0,20
00582;D;OLENA;27;0,20
00582;H;VASYL;27;0,20
00598;H;ALFONS;26;0,19
00598;D;AZIZA;26;0,19
00598;H;BLAI;26;0,19
00598;D;CHLOE/CHLÓE;26;0,19
00598;D;CLOÈ/CLOE;26;0,19
00598;D;DESIRÉE;26;0,19
00598;D;ESTELA;26;0,19
00598;D;GALINA;26;0,19
00598;H;GERARDO;26;0,19
00598;H;JAOUAD;26;0,19
00598;D;JOSEPA;26;0,19
00598;H;JULI;26;0,19
00598;D;LARA;26;0,19
00598;D;MARIA ESTHER/MARÍA ESTHER;26;0,19
00598;D;MARIA MAGDALENA/MARÍA MAGDALENA;26;0,19
00598;D;MERIEM;26;0,19
00598;D;MIHAELA;26;0,19
00598;D;MIMOUNT;26;0,19
00598;H;MÀXIM;26;0,19
00598;D;SOUKAINA;26;0,19
00598;H;TARIK;26;0,19
00598;H;YAHYA;26;0,19
00620;D;AMANDA;25;0,19
00620;D;ANABEL;25;0,19
00620;D;ENGRACIA;25;0,19
00620;H;GAEL;25;0,19
00620;H;IOAN;25;0,19
00620;D;ISRAE;25;0,19
00620;D;JULIANA;25;0,19
00620;D;LOUBNA;25;0,19
00620;H;MAMADOU;25;0,19
00620;H;MARK;25;0,19
00620;H;PAVEL;25;0,19
00620;D;SABINA;25;0,19
00620;H;SALVI;25;0,19
00620;H;WALID;25;0,19
00620;D;YOUSRA;25;0,19
00620;D;ZOÈ/ZOÉ/ZOE;25;0,19
00636;H;ABDELLATIF;24;0,18
00636;D;ADELINA;24;0,18
00636;H;ADOLFO;24;0,18
00636;H;BARTOLOMÉ;24;0,18
00636;D;BEGOÑA;24;0,18
00636;H;BRIAN;24;0,18
00636;H;CARMELO;24;0,18
00636;D;CHAIMAE;24;0,18
00636;D;CHAYMAE;24;0,18
00636;H;EUSEBIO;24;0,18
00636;D;HAFSA;24;0,18
00636;H;IBAN;24;0,18
00636;H;ILÍAS;24;0,18
00636;D;IRIA/IRÍA;24;0,18
00636;H;JOAN CARLES;24;0,18
00636;D;JÈNIFER/JENIFER;24;0,18
00636;H;LAHCEN;24;0,18
00636;H;MOSTAFA;24;0,18
00636;H;MOURAD;24;0,18
00636;D;NAIA;24;0,18
00636;H;NAJIM;24;0,18
00636;H;OUSMAN;24;0,18
00636;D;SABAH;24;0,18
00636;H;SOUFIAN;24;0,18
00636;D;WIAM;24;0,18
00661;H;ABDESSAMAD;23;0,17
00661;H;ALEKSANDER;23;0,17
00661;H;AMADOU;23;0,17
00661;D;ASMAA;23;0,17
00661;H;BENJAMÍN;23;0,17
00661;D;CÀNDIDA/CÁNDIDA;23;0,17
00661;D;ERIKA;23;0,17
00661;H;HAFID;23;0,17
00661;D;HIBA;23;0,17
00661;D;HOUDA;23;0,17
00661;D;ISONA;23;0,17
00661;D;JANNAT;23;0,17
00661;D;LAYLA;23;0,17
00661;D;LEILA;23;0,17
00661;D;MARIA DELS ÀNGELS;23;0,17
00661;D;MARIA MAR/MARÍA MAR;23;0,17
00661;D;MARIA PAZ/MARÍA PAZ;23;0,17
00661;D;NAYARA;23;0,17
00661;D;NOURA;23;0,17
00661;H;OUSSAMA;23;0,17
00661;H;PASCUAL;23;0,17
00661;D;PETRA;23;0,17
00661;H;RAIMON/RAIMÓN;23;0,17
