# Noms de la població. 2020
# Comarques Gironines
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=c2
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00109;D;MARIA ÁNGELES/MARÍA ÁNGELES;1410;1,86
00110;D;JUANA;1386;1,83
00111;H;ALBERTO;1381;1,82
00111;D;SUSANA;1381;1,82
00113;D;ROSER;1376;1,81
00114;H;ROGER;1370;1,80
00115;H;JOEL;1367;1,80
00116;H;ERIC/ÈRIC/ÉRIC;1363;1,80
00117;D;AINA;1357;1,79
00118;H;RAÜL/RAÚL;1355;1,79
00119;H;FERRAN;1352;1,78
00120;H;SANTIAGO;1350;1,78
00121;H;ALEIX;1317;1,74
00121;D;IRENE;1317;1,74
00121;H;VÍCTOR;1317;1,74
00124;H;GUILLEM;1284;1,69
00124;D;MARTINA;1284;1,69
00126;D;ENCARNACIÓN;1281;1,69
00127;H;JAN;1272;1,68
00128;H;JOSÉ MANUEL;1265;1,67
00129;H;FERNANDO;1264;1,67
00130;D;YOLANDA;1261;1,66
00131;D;ANNA MARIA/ANNA MARÍA;1260;1,66
00132;D;ESTHER;1253;1,65
00133;D;ÀNGELA/ÁNGELA;1235;1,63
00134;H;ENRIQUE;1228;1,62
00135;H;NIL;1219;1,61
00136;H;ANTONI;1211;1,60
00136;D;MERCÈ;1211;1,60
00138;D;ESTER;1199;1,58
00139;D;GLÒRIA/GLORIA;1191;1,57
00140;H;NARCÍS;1189;1,57
00141;D;ROSARIO;1151;1,52
00142;D;MANUELA;1144;1,51
00143;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;1139;1,50
00144;H;FRANCESC XAVIER;1120;1,48
00145;D;BERTA;1117;1,47
00146;D;EMMA;1092;1,44
00147;D;CLARA;1090;1,44
00148;H;JUAN CARLOS;1077;1,42
00149;H;MOHAMMED;1072;1,41
00149;D;MÍRIAM/MIRIAM;1072;1,41
00151;D;MARIA DEL CARME/MARÍA DEL CARME;1070;1,41
00152;H;JUAN JOSÉ;1066;1,40
00153;H;BIEL;1051;1,38
00154;D;JOSEFINA;1043;1,37
00155;H;AHMED;1042;1,37
