# Noms de la població. 2020
# Cerdanya
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d15
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00128;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;31;1,70
00128;D;MÍRIAM/MIRIAM;31;1,70
00128;H;NIL;31;1,70
00128;H;RICARDO;31;1,70
00128;D;ROSARIO;31;1,70
00137;D;AINA;30;1,65
00137;H;GABRIEL;30;1,65
00137;D;JANA;30;1,65
00137;D;MARIA ÁNGELES/MARÍA ÁNGELES;30;1,65
00137;D;PAULA;30;1,65
00137;D;ÀNGELA/ÁNGELA;30;1,65
00143;H;BERNAT;29;1,59
00143;D;PATRÍCIA/PATRICIA;29;1,59
00143;D;ROSER;29;1,59
00146;D;CAROLINA;28;1,54
00146;H;ENRIC;28;1,54
00146;H;JOAQUIM;28;1,54
00146;H;JUAN JOSÉ;28;1,54
00146;D;JUDIT;28;1,54
00146;D;NEUS;28;1,54
00152;H;ESTEBAN;27;1,48
00152;D;LUCÍA;27;1,48
00152;D;MARIA ANTONIA/MARÍA ANTONIA;27;1,48
00152;D;MARIA CRISTINA/MARÍA CRISTINA;27;1,48
00156;D;GLÒRIA/GLORIA;26;1,43
00157;D;ESTER;25;1,37
00157;D;MARIA LUISA/MARÍA LUISA;25;1,37
00157;H;MOHAMED;25;1,37
00157;H;TOMÀS/TOMÁS;25;1,37
00161;D;CARLOTA;24;1,32
00161;H;MARCOS;24;1,32
00161;D;MARIA DEL CARME/MARÍA DEL CARME;24;1,32
00161;D;MARIA LOURDES/MARÍA LOURDES;24;1,32
00161;H;RUBÈN/RUBÉN;24;1,32
00161;D;YOLANDA;24;1,32
00167;H;DIEGO;23;1,26
00167;D;DOLORS;23;1,26
00167;D;EMMA;23;1,26
00167;H;ISIDRE;23;1,26
00167;H;JUAN ANTONIO;23;1,26
00167;H;PABLO;23;1,26
00173;D;ALÍCIA/ALICIA;22;1,21
00173;H;ANDREU;22;1,21
00173;D;LÍDIA/LIDIA;22;1,21
00173;D;MANUELA;22;1,21
00177;H;ALFONSO;21;1,15
00177;D;IVET;21;1,15
00177;D;MARIONA;21;1,15
00180;H;ABEL;20;1,10
00180;D;ABRIL;20;1,10
00180;D;CARME;20;1,10
00180;H;EMILIO;20;1,10
00180;D;INÉS;20;1,10
00180;H;JOEL;20;1,10
00180;H;MANEL;20;1,10
00180;D;MARIA DEL MAR/ MARÍA DEL MAR;20;1,10
00180;D;MARIA MONTSERRAT/MARÍA MONTSERRAT;20;1,10
00180;D;MARIA ÀNGELS;20;1,10
00180;H;MAX;20;1,10
00180;H;NICOLÀS/NICOLÁS;20;1,10
00180;D;ONA;20;1,10
00180;D;RAQUEL;20;1,10
00180;D;VERÒNICA/VERÓNICA;20;1,10
00195;H;ADRIÁN;19;1,04
00195;D;CONCEPCIÓ;19;1,04
00195;H;ISIDRO;19;1,04
00195;D;MARIA VICTÒRIA/MARÍA VICTORIA;19;1,04
00195;H;ROC;19;1,04
00200;D;JOSEFINA;18;0,99
00200;D;JÈSSICA/JESSICA;18;0,99
00200;D;MARIA JESÚS/MARÍA JESÚS;18;0,99
00200;H;VICENTE;18;0,99
00204;H;CRISTIÁN;17;0,93
00204;H;DOMINGO;17;0,93
00204;D;ENCARNACIÓN;17;0,93
00204;D;JOANA;17;0,93
00204;D;MARIA ELENA/MARÍA ELENA;17;0,93
00204;D;SOFÍA/SOFIA;17;0,93
00210;D;AINHOA;16;0,88
00210;D;BEATRIZ;16;0,88
00210;H;ESTEVE;16;0,88
00210;H;IGNACIO;16;0,88
00210;D;MAGDALENA;16;0,88
00210;D;MAR;16;0,88
00210;D;TATIANA;16;0,88
00217;H;AGUSTÍ;15;0,82
00217;H;AGUSTÍN;15;0,82
00217;D;ALEJANDRA;15;0,82
00217;D;ALEXANDRA;15;0,82
00217;D;ELISENDA;15;0,82
00217;D;EMÍLIA/EMILIA;15;0,82
00217;H;FRANCISCO JOSÉ;15;0,82
00217;H;ISMAEL;15;0,82
00217;H;KEVIN;15;0,82
00217;H;LORENZO;15;0,82
00217;H;MARIO;15;0,82
00217;H;RICARD;15;0,82
00217;H;ROBERTO;15;0,82
00217;H;VALENTÍN;15;0,82
00217;D;VICTÒRIA/VICTORIA;15;0,82
00217;H;ÁLVARO;15;0,82
00233;D;ADRIANA;14;0,77
00233;H;ALEXANDER;14;0,77
00233;H;CHRISTIAN;14;0,77
00233;D;ELVIRA;14;0,77
00233;D;ENRIQUETA;14;0,77
00233;D;GINA;14;0,77
00233;D;HELENA;14;0,77
00233;H;JUAN MANUEL;14;0,77
