# Noms de la població. 2020
# Alt Empordà
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d02
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00194;D;BERTA;133;0,93
00194;H;MARCOS;133;0,93
00194;H;ROBERT;133;0,93
00197;H;MUSTAPHA;132;0,92
00198;H;IKER;131;0,91
00199;D;ONA;129;0,90
00200;D;MAGDALENA;126;0,88
00200;H;PABLO;126;0,88
00202;H;TOMÀS/TOMÁS;125;0,87
00203;D;MARIA JOSEFA/MARÍA JOSEFA;124;0,87
00204;H;SEBASTIAN/SEBASTIÁN;121;0,85
00205;D;XÈNIA/XENIA;120;0,84
00206;H;MANEL;118;0,82
00206;D;MARIA DEL MAR/ MARÍA DEL MAR;118;0,82
00206;H;RICARDO;118;0,82
00209;D;ALEXANDRA;117;0,82
00209;D;CÈLIA/CELIA;117;0,82
00209;H;LLUC;117;0,82
00209;D;SOFÍA/SOFIA;117;0,82
00213;H;HUGO;115;0,80
00214;D;INÉS;113;0,79
00214;H;RAYAN;113;0,79
00216;H;ALFONSO;110;0,77
00216;D;MARIA ANTONIA/MARÍA ANTONIA;110;0,77
00216;D;MARIA JESÚS/MARÍA JESÚS;110;0,77
00216;D;MARIA MERCEDES/MARÍA MERCEDES;110;0,77
00220;H;AITOR;109;0,76
00221;H;EMILIO;108;0,75
00221;D;JÈSSICA/JESSICA;108;0,75
00221;D;NEREA;108;0,75
00221;D;NÀDIA/NADIA;108;0,75
00225;D;AYA;107;0,75
00226;H;ABDESLAM;105;0,73
00226;H;MAX;105;0,73
00228;D;EMÍLIA/EMILIA;104;0,73
00229;H;FRANCISCO JOSÉ;103;0,72
00229;H;JULIÁN;103;0,72
00229;H;NICOLÀS/NICOLÁS;103;0,72
00232;D;CONCEPCIÓ;102;0,71
00232;D;HELENA;102;0,71
00234;H;HÈCTOR/HÉCTOR;101;0,71
00234;D;NORA;101;0,71
00236;D;BEATRIZ;100;0,70
00236;D;SALMA;100;0,70
00238;D;AMINA;98;0,68
00238;D;MARIA LOURDES/MARÍA LOURDES;98;0,68
00238;D;MERITXELL;98;0,68
00241;H;AGUSTÍN;97;0,68
00241;D;NOEMÍ/NOEMI;97;0,68
00243;D;ENRIQUETA;96;0,67
00243;H;HICHAM;96;0,67
00245;H;ESTEBAN;95;0,66
00245;D;ÁNGELES;95;0,66
00247;D;AIDA/AÏDA/AÍDA;94;0,66
00247;D;LUISA;94;0,66
00247;D;MARIA ELENA/MARÍA ELENA;94;0,66
00250;H;BILAL;93;0,65
00250;H;HASSAN;93;0,65
00250;D;JOAQUINA;93;0,65
00250;D;MARIA DEL CARME/MARÍA DEL CARME;93;0,65
00250;D;MÀRIAM/MARIAM;93;0,65
00250;D;NAIMA;93;0,65
00256;D;NOA;92;0,64
00256;D;VANESA;92;0,64
00258;D;NOÈLIA/NOELIA;91;0,64
00258;H;ÀYOUB/ÁYOUB;91;0,64
00260;H;ALI/ALÍ;90;0,63
00260;D;DANIELA;90;0,63
00260;D;ELVIRA;90;0,63
00263;D;AINHOA;89;0,62
00263;H;IAN;89;0,62
00263;D;VANESSA;89;0,62
00263;H;ÁLVARO;89;0,62
00267;H;FÈLIX/FÉLIX;87;0,61
00267;D;ÍNGRID;87;0,61
00269;D;AICHA;86;0,60
00269;H;ALEXANDRE;86;0,60
00269;D;INMACULADA;86;0,60
00269;D;TÀNIA/TANIA;86;0,60
00273;D;IRINA;85;0,59
00273;D;MARIA ASUNCIÓN/MARÍA ASUNCIÓN;85;0,59
00275;H;HAMZA;84;0,59
