# Noms de la població. 2020
# Gironès
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d20
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00142;H;SERGIO;294;1,52
00143;H;FERNANDO;292;1,51
00143;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;292;1,51
00145;H;ANTONI;291;1,50
00146;H;ENRIQUE;290;1,50
00147;D;MERCÈ;287;1,48
00148;H;RAÜL/RAÚL;282;1,46
00149;H;JOSÉ MANUEL;275;1,42
00150;D;MARIA DEL CARME/MARÍA DEL CARME;274;1,42
00151;D;MÍRIAM/MIRIAM;269;1,39
00152;H;JAIME;268;1,38
00152;D;ROSARIO;268;1,38
00154;D;ELISABET;266;1,37
00155;H;ANIOL;262;1,35
00156;H;ISAAC;258;1,33
00157;D;MARÍA JOSÉ;257;1,33
00158;D;MERITXELL;254;1,31
00159;D;MANUELA;253;1,31
00160;D;JOSEFINA;249;1,29
00160;D;MARIA LUISA/MARÍA LUISA;249;1,29
00162;D;ANDREA;248;1,28
00163;H;JUAN CARLOS;246;1,27
00164;D;NEUS;245;1,27
00165;H;AHMED;244;1,26
00165;D;JANA;244;1,26
00167;D;ABRIL;232;1,20
00168;D;HELENA;227;1,17
00169;H;JUAN JOSÉ;224;1,16
00169;H;RUBÈN/RUBÉN;224;1,16
00171;D;JOANA;222;1,15
00172;H;ADAM;220;1,14
00173;D;LUCÍA;219;1,13
00174;H;ADRIÁN;217;1,12
00174;H;JUAN ANTONIO;217;1,12
00176;D;JUDITH;216;1,12
00176;H;ROBERT;216;1,12
00178;H;GABRIEL;213;1,10
00178;H;RICARD;213;1,10
00180;H;ELOI;204;1,05
00180;D;LOURDES;204;1,05
00180;D;MAR;204;1,05
00183;H;DIEGO;201;1,04
00183;H;LLUC;201;1,04
00185;H;OMAR;200;1,03
00186;H;YOUSSEF;198;1,02
00187;H;ANDRÉS;192;0,99
00188;H;CRISTIÁN;191;0,99
00188;D;ONA;191;0,99
00188;D;PATRÍCIA/PATRICIA;191;0,99
00191;D;INMACULADA;190;0,98
00192;D;FATOUMATA;189;0,98
00193;D;VICTÒRIA/VICTORIA;188;0,97
00194;H;TOMÀS/TOMÁS;185;0,96
00195;H;MAHAMADOU;183;0,95
00196;H;PABLO;182;0,94
00197;D;CAROLINA;181;0,94
00198;D;IMMACULADA;180;0,93
00199;H;SAID/SAÏD;179;0,92
00199;D;VERÒNICA/VERÓNICA;179;0,92
00201;H;ALEXANDRE;178;0,92
00201;H;JUAN MANUEL;178;0,92
00201;D;MARIA DEL MAR/ MARÍA DEL MAR;178;0,92
00204;D;CATALINA;177;0,91
00205;D;ALEXANDRA;176;0,91
00206;D;ALÍCIA/ALICIA;173;0,89
00206;H;BERNAT;173;0,89
00206;D;CONCEPCIÓ;173;0,89
00209;H;EDUARDO;172;0,89
00210;H;ISMAEL;170;0,88
00211;H;MANEL;169;0,87
00212;D;TÀNIA/TANIA;168;0,87
00213;H;NARCISO;166;0,86
00213;D;ÍNGRID;166;0,86
00215;H;EMILIO;160;0,83
00215;D;MARIA MERCÈ/MARÍA MERCÈ;160;0,83
00215;H;RICARDO;160;0,83
00218;H;ANDREU;158;0,82
00219;H;ALI/ALÍ;156;0,81
00220;D;XÈNIA/XENIA;155;0,80
00221;D;AIDA/AÏDA/AÍDA;154;0,80
