# Noms de la població. 2020
# Garrotxa
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d19
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00075;D;SARA;155;2,68
00076;H;JOAQUÍN;154;2,66
00076;D;JUDIT;154;2,66
00078;D;ROSA MARIA/ROSA MARÍA;151;2,61
00078;D;ROSER;151;2,61
00080;D;ALBA;149;2,58
00080;H;JOAQUIM;149;2,58
00082;D;JOSEFINA;146;2,52
00083;H;JOEL;143;2,47
00083;D;MARIA DEL PILAR/MARÍA DEL PILAR;143;2,47
00085;H;JAIME;141;2,44
00085;D;MÒNICA/MÓNICA;141;2,44
00087;D;CONCEPCIÓN;140;2,42
00087;D;ESTER;140;2,42
00089;H;ANIOL;139;2,40
00089;H;FRANCISCO JAVIER;139;2,40
00089;D;MERCÈ;139;2,40
00089;D;RAQUEL;139;2,40
00093;D;LOURDES;136;2,35
00094;H;ROGER;135;2,33
00095;D;AINA;133;2,30
00095;D;MARIA ÀNGELS;133;2,30
00097;H;SALVADOR;132;2,28
00098;D;CLÀUDIA/CLAUDIA;129;2,23
00098;H;JAN;129;2,23
00098;D;MARINA;129;2,23
00098;H;ÀLEX/ÁLEX;129;2,23
00102;H;LLUC;127;2,19
00103;H;ANTONI;125;2,16
00104;H;ENRIC;122;2,11
00105;H;EDUARD;118;2,04
00105;D;IRENE;118;2,04
00107;D;SANDRA;117;2,02
00107;D;ÀNGELA/ÁNGELA;117;2,02
00109;D;MARIA ÁNGELES/MARÍA ÁNGELES;115;1,99
00110;H;JAVIER;112;1,94
00111;D;MERCEDES;111;1,92
00111;H;RAFAEL;111;1,92
00113;D;GLÒRIA/GLORIA;110;1,90
00113;H;JESÚS;110;1,90
00113;H;NIL;110;1,90
00116;H;GUILLEM;109;1,88
00116;H;IVAN/IVÁN;109;1,88
00116;D;LÍDIA/LIDIA;109;1,88
00119;H;ORIOL;108;1,87
00120;D;SÒNIA/SONIA;107;1,85
00121;H;SANTIAGO;102;1,76
00122;H;ALEIX;101;1,75
00123;D;SUSANA;100;1,73
00124;D;MARTINA;99;1,71
00125;D;BERTA;98;1,69
00125;D;JOANA;98;1,69
00127;D;ANNA MARIA/ANNA MARÍA;97;1,68
00128;D;ARIADNA;94;1,62
00129;D;ELENA;93;1,61
00129;H;MAHAMADOU;93;1,61
00131;H;ALBERTO;92;1,59
00132;H;BIEL;91;1,57
00132;D;MARIA ISABEL/MARÍA ISABEL;91;1,57
00134;H;JOSÉ ANTONIO;90;1,56
00135;H;ISAAC;89;1,54
00136;D;ELISABET;88;1,52
00136;D;JANA;88;1,52
00138;D;ADRIANA;87;1,50
00139;D;OLGA;86;1,49
00140;H;JOSÉ LUIS;84;1,45
00140;D;NEUS;84;1,45
00142;D;CLARA;83;1,43
00142;H;ÒSCAR/ÓSCAR;83;1,43
00144;D;MAGDALENA;82;1,42
00145;H;SERGIO;81;1,40
00146;H;ESTEBAN;80;1,38
00147;D;JUANA;79;1,37
00148;H;ESTEVE;78;1,35
00149;D;MERITXELL;77;1,33
00150;D;EMMA;76;1,31
00150;H;MANEL;76;1,31
00152;H;ENRIQUE;75;1,30
00152;D;ESTHER;75;1,30
00154;D;ABRIL;74;1,28
00154;H;FERNANDO;74;1,28
00154;D;ONA;74;1,28
00157;D;FÀTIMA/FÁTIMA;72;1,24
00158;H;ALEJANDRO;71;1,23
00158;D;MÍRIAM/MIRIAM;71;1,23
00160;D;ROSARIO;69;1,19
00161;D;YOLANDA;68;1,18
00162;D;CONCEPCIÓ;66;1,14
00163;H;JUAN CARLOS;65;1,12
00163;D;TÀNIA/TANIA;65;1,12
00165;D;HELENA;64;1,11
00165;H;RAÜL/RAÚL;64;1,11
00167;D;MARIA DEL TURA/MARÍA DEL TURA;63;1,09
00168;D;NATÀLIA/NATALIA;62;1,07
00169;H;BERNAT;60;1,04
00169;D;FATOUMATA;60;1,04
00169;H;GENÍS;60;1,04
00169;D;MARIA LUISA/MARÍA LUISA;60;1,04
00173;H;GABRIEL;59;1,02
00174;D;ALEXANDRA;58;1,00
00174;H;ANDREU;58;1,00
00174;H;ELOI;58;1,00
00174;D;ENCARNACIÓN;58;1,00
00174;D;MARIA ASUNCIÓN/MARÍA ASUNCIÓN;58;1,00
00179;H;NARCÍS;57;0,99
00180;D;EMÍLIA/EMILIA;56;0,97
00180;H;JOSÉ MANUEL;56;0,97
00180;D;VANESSA;56;0,97
00183;H;VÍCTOR;55;0,95
00184;D;IRINA;54;0,93
00184;D;MARIONA;54;0,93
00184;H;MOISÈS/MOISÉS;54;0,93
00184;H;MUSA;54;0,93
00188;D;MARIA MERCÈ/MARÍA MERCÈ;53;0,92
00189;H;BLAI;52;0,90
00189;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;52;0,90
00191;H;ALEXANDRE;51;0,88
00191;H;JUAN JOSÉ;51;0,88
00193;H;AGUSTÍN;50;0,86
00193;D;BRUNA;50;0,86
00193;D;MAR;50;0,86
00193;H;RICARD;50;0,86
00197;D;CORAL;49;0,85
00197;D;INMACULADA;49;0,85
00197;D;MANUELA;49;0,85
00200;D;CATALINA;48;0,83
00200;D;ELVIRA;48;0,83
00202;H;AHMED;47;0,81
00202;D;ALÍCIA/ALICIA;47;0,81
00202;D;IVET;47;0,81
00202;H;JUAN ANTONIO;47;0,81
00202;H;VICENTE;47;0,81
00207;H;ANDRÉS;46;0,79
00207;H;EDUARDO;46;0,79
00207;D;FRANCESCA;46;0,79
00207;D;IMMACULADA;46;0,79
00207;D;JOAQUINA;46;0,79
00207;D;JUDITH;46;0,79
00207;D;MARIA LOURDES/MARÍA LOURDES;46;0,79
00214;D;ASUNCIÓN;45;0,78
00214;H;CRISTIÁN;45;0,78
00214;D;NORA;45;0,78
00214;H;TOMÀS/TOMÁS;45;0,78
00218;D;ARLET;44;0,76
