# Noms de la població. 2020
# Selva
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d34
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00116;D;CLÀUDIA/CLAUDIA;310;1,80
00117;D;MÍRIAM/MIRIAM;309;1,79
00117;D;ROSARIO;309;1,79
00119;H;ANTONI;308;1,79
00119;D;ARIADNA;308;1,79
00121;H;JUAN CARLOS;304;1,76
00121;D;ÀNGELA/ÁNGELA;304;1,76
00123;H;ENRIQUE;303;1,76
00124;H;SANTIAGO;301;1,74
00125;D;CARME;297;1,72
00126;D;ESTHER;294;1,70
00126;D;SUSANA;294;1,70
00128;D;JUDIT;293;1,70
00129;H;JUAN ANTONIO;288;1,67
00130;D;GLÒRIA/GLORIA;284;1,65
00130;D;MARTINA;284;1,65
00132;D;MARÍA JOSÉ;282;1,63
00133;H;ALEIX;281;1,63
00134;D;ANDREA;277;1,61
00134;H;ROGER;277;1,61
00136;H;ANDRÉS;275;1,59
00137;H;EDUARD;272;1,58
00137;D;ESTER;272;1,58
00139;H;JUAN JOSÉ;271;1,57
00140;D;AINA;267;1,55
00141;H;JAN;266;1,54
00142;H;ADRIÁN;262;1,52
00143;H;NIL;261;1,51
00144;H;CRISTIÁN;257;1,49
00144;H;JUAN MANUEL;257;1,49
00146;D;IRENE;255;1,48
00147;D;ELISABET;253;1,47
00148;D;ANNA MARIA/ANNA MARÍA;252;1,46
00148;H;RUBÈN/RUBÉN;252;1,46
00150;D;MERCÈ;247;1,43
00151;H;ENRIC;246;1,43
00152;D;ROSER;232;1,34
00153;D;EMMA;230;1,33
00154;D;MARIA DEL CARME/MARÍA DEL CARME;228;1,32
00154;D;MARIA LUISA/MARÍA LUISA;228;1,32
00156;D;JUDITH;227;1,32
00157;H;BIEL;225;1,30
00157;H;FERRAN;225;1,30
00159;H;FRANCESC XAVIER;223;1,29
00160;H;DIEGO;220;1,28
00161;D;FÀTIMA/FÁTIMA;212;1,23
00162;D;BERTA;210;1,22
00163;H;MARCOS;208;1,21
00164;H;GUILLEM;202;1,17
00165;D;VICTÒRIA/VICTORIA;197;1,14
00166;D;MARIA DEL MAR/ MARÍA DEL MAR;196;1,14
00167;H;EDUARDO;189;1,10
00168;D;ALÍCIA/ALICIA;187;1,08
00169;H;ISAAC;186;1,08
00170;H;MANEL;182;1,06
00170;D;VERÒNICA/VERÓNICA;182;1,06
00172;D;MERITXELL;180;1,04
00173;H;GABRIEL;179;1,04
00173;H;RICARDO;179;1,04
00175;D;JOSEFINA;175;1,01
00175;D;MARIA JOSEFA/MARÍA JOSEFA;175;1,01
00177;D;CAROLINA;174;1,01
00177;D;JANA;174;1,01
00177;H;PABLO;174;1,01
00177;H;RICARD;174;1,01
00181;H;TOMÀS/TOMÁS;173;1,00
00182;H;ISMAEL;171;0,99
00183;H;EMILIO;170;0,99
00183;D;MARIA ANTONIA/MARÍA ANTONIA;170;0,99
00183;D;NEUS;170;0,99
00183;D;PATRÍCIA/PATRICIA;170;0,99
00183;D;SOFÍA/SOFIA;170;0,99
00188;D;ABRIL;168;0,97
00188;H;ALFONSO;168;0,97
00188;D;JOANA;168;0,97
00191;D;CLARA;167;0,97
00192;H;MARIO;166;0,96
00193;H;MOHAMMED;165;0,96
00194;H;MAHAMADOU;163;0,94
00194;D;MARIONA;163;0,94
00194;D;NEREA;163;0,94
00197;D;JÈSSICA/JESSICA;162;0,94
00198;D;LOURDES;161;0,93
00199;H;IKER;159;0,92
00199;D;MARIA MERCEDES/MARÍA MERCEDES;159;0,92
00201;H;FÈLIX/FÉLIX;157;0,91
00201;D;MARIA ÀNGELS;157;0,91
00203;H;HUGO;156;0,90
00203;D;MAR;156;0,90
00205;D;TÀNIA/TANIA;155;0,90
00205;H;VICENTE;155;0,90
00207;H;NARCÍS;154;0,89
00208;D;ALEXANDRA;153;0,89
00208;H;ELOI;153;0,89
00210;D;NOÈLIA/NOELIA;151;0,88
00211;H;ADAM;150;0,87
00211;H;ROBERT;150;0,87
00213;H;AHMED;149;0,86
00214;D;MARIA JESÚS/MARÍA JESÚS;145;0,84
00214;D;NOA;145;0,84
00216;H;IZAN;144;0,83
00217;D;AINHOA;143;0,83
00217;D;TATIANA;143;0,83
00219;H;AGUSTÍN;142;0,82
00220;H;FRANCISCO JOSÉ;141;0,82
00220;D;IRINA;141;0,82
00220;D;ONA;141;0,82
00223;D;EMÍLIA/EMILIA;140;0,81
00223;D;NORA;140;0,81
00225;H;SEBASTIAN/SEBASTIÁN;138;0,80
00226;D;BEATRIZ;137;0,79
00226;D;LUISA;137;0,79
00226;H;ROBERTO;137;0,79
00226;D;VANESSA;137;0,79
00230;H;ESTEBAN;134;0,78
00231;H;JULIÁN;133;0,77
00232;D;MAGDALENA;131;0,76
00232;D;ÁNGELES;131;0,76
00234;H;ALEXANDER;130;0,75
00234;D;DANIELA;130;0,75
00234;D;EVA MARIA/EVA MARÍA;130;0,75
00237;D;INMACULADA;128;0,74
00238;D;AURORA;126;0,73
00238;H;OMAR;126;0,73
00240;H;AITOR;124;0,72
00241;D;JOAQUINA;123;0,71
00242;H;AARON/AARÓN;122;0,71
00242;H;ANDREU;122;0,71
00242;D;ÍNGRID;122;0,71
00245;D;CATALINA;121;0,70
