# Noms de la població. 2020
# Ripollès
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d31
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00147;D;SÒNIA/SONIA;37;1,47
00150;H;ANDRÉS;36;1,43
00150;H;BIEL;36;1,43
00150;D;ENCARNACIÓN;36;1,43
00150;D;ESTHER;36;1,43
00150;D;JUDITH;36;1,43
00150;H;RAÜL/RAÚL;36;1,43
00156;H;JOEL;35;1,39
00156;H;JUAN ANTONIO;35;1,39
00158;D;MARIONA;34;1,35
00159;H;AGUSTÍ;33;1,31
00159;H;JUAN JOSÉ;33;1,31
00159;D;MARIA LUISA/MARÍA LUISA;33;1,31
00159;H;SANTIAGO;33;1,31
00159;H;VÍCTOR;33;1,31
00164;H;VICENTE;32;1,27
00164;D;VICTÒRIA/VICTORIA;32;1,27
00166;H;BERNAT;31;1,23
00166;H;EDUARDO;31;1,23
00166;D;EMMA;31;1,23
00169;H;ALEJANDRO;30;1,19
00169;H;GIL;30;1,19
00169;H;JUAN CARLOS;30;1,19
00169;D;REMEDIOS;30;1,19
00173;H;AGUSTÍN;29;1,15
00173;H;GABRIEL;29;1,15
00173;D;MÍRIAM/MIRIAM;29;1,15
00173;D;ONA;29;1,15
00177;D;MARIA ASUNCIÓN/MARÍA ASUNCIÓN;28;1,11
00178;H;AHMED;27;1,07
00178;D;IRENE;27;1,07
00178;D;MARIA MERCEDES/MARÍA MERCEDES;27;1,07
00181;D;ABRIL;26;1,03
00181;D;AURORA;26;1,03
00181;D;EMÍLIA/EMILIA;26;1,03
00181;H;JOSÉ MANUEL;26;1,03
00181;D;MARIA ANTONIA/MARÍA ANTONIA;26;1,03
00186;D;CATALINA;25;0,99
00186;H;DOMINGO;25;0,99
00186;D;ELVIRA;25;0,99
00186;D;LUISA;25;0,99
00186;D;REMEI;25;0,99
00186;H;RICARD;25;0,99
00192;H;ANDREU;24;0,95
00192;H;ISAAC;24;0,95
00192;D;LEONOR;24;0,95
00192;D;MARIA NÚRIA/MARÍA NURIA;24;0,95
00192;H;MOISÈS/MOISÉS;24;0,95
00197;H;ANIOL;23;0,91
00197;D;ARLET;23;0,91
00197;D;CONSUELO;23;0,91
00197;D;ESPERANZA;23;0,91
00197;D;JOANA;23;0,91
00197;D;MARÍA JOSÉ;23;0,91
00197;H;RICARDO;23;0,91
00204;D;ARACELI;22;0,87
00204;D;CLARA;22;0,87
00204;D;IVET;22;0,87
00204;D;MARIA JESÚS/MARÍA JESÚS;22;0,87
00204;D;MARIA JOSEFA/MARÍA JOSEFA;22;0,87
00204;D;MARIA LOURDES/MARÍA LOURDES;22;0,87
00204;H;MARIANO;22;0,87
00204;H;MARTÍN;22;0,87
00204;H;TOMÀS/TOMÁS;22;0,87
00213;D;HELENA;21;0,83
00213;H;IGNASI;21;0,83
00213;D;ROSALIA/ROSALÍA;21;0,83
00213;D;VANESA;21;0,83
00217;H;ALFONSO;20;0,79
00217;D;BLANCA;20;0,79
00217;D;CAROLINA;20;0,79
00217;H;ELOI;20;0,79
00217;H;JULIÁN;20;0,79
00217;D;LUCÍA;20;0,79
00217;D;MAR;20;0,79
00217;D;MARIA MERCÈ/MARÍA MERCÈ;20;0,79
00217;H;MIGUEL ÀNGEL/MIGUEL ÁNGEL;20;0,79
00217;D;NOÈLIA/NOELIA;20;0,79
00217;D;TRINIDAD;20;0,79
00217;D;VERÒNICA/VERÓNICA;20;0,79
00229;H;ADRIÁN;19;0,75
00229;D;ALEXANDRA;19;0,75
00229;H;CRISTIÁN;19;0,75
